date,order_volume,fulfillment_rate,delivery_time_hours,capacity,staff_count,downtime_hours
2025-01-01,8200,97.8,25.1,11000,92,3
2025-02-01,8600,97.5,25.8,11000,92,4
2025-03-01,9100,96.9,27.2,11000,90,6
2025-04-01,9400,96.5,28.0,11000,88,7
2025-05-01,12800,84.1,39.8,11000,82,38
2025-06-01,10300,92.7,32.0,11000,87,15
2025-07-01,9800,95.3,29.1,11000,91,8
2025-08-01,10100,95.8,28.6,11000,93,6
2025-09-01,10800,94.9,30.0,11200,94,9
2025-10-01,11600,93.2,32.4,11200,96,12
2025-11-01,13700,88.4,37.1,11500,105,24
2025-12-01,14900,86.7,40.2,12000,112,29

